----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:6.86%, time:21 m:7 s, avg loss: 12.09, avg acc:0.1923%, last loss: 11.52
Train completion:7.00%, time:21 m:30 s, avg loss: 12.08, avg acc:0.1887%, last loss: 11.73
Train completion:7.13%, time:21 m:54 s, avg loss: 12.08, avg acc:0.1852%, last loss: 11.81
Train completion:7.26%, time:22 m:19 s, avg loss: 12.07, avg acc:0.1818%, last loss: 12.00
Train completion:7.39%, time:22 m:43 s, avg loss: 12.07, avg acc:0.1786%, last loss: 11.14
Train completion:7.52%, time:23 m:7 s, avg loss: 12.06, avg acc:0.1754%, last loss: 11.48
Train completion:7.66%, time:23 m:31 s, avg loss: 12.06, avg acc:0.1724%, last loss: 11.53
Train completion:7.79%, time:23 m:54 s, avg loss: 12.05, avg acc:0.1695%, last loss: 11.62
Train completion:7.92%, time:24 m:19 s, avg loss: 12.04, avg acc:0.1667%, last loss: 11.46
Train completion:8.05%, time:24 m:44 s, avg loss: 12.04, avg acc:0.1639%, last loss: 11.67
Train completion:8.18%, time:25 m:9 s, avg loss: 12.03, avg acc:0.1613%, last loss: 11.37
Train completion:8.32%, time:25 m:34 s, avg loss: 12.03, avg acc:0.1587%, last loss: 12.00
Train completion:8.45%, time:25 m:58 s, avg loss: 12.02, avg acc:0.1562%, last loss: 11.48
Train completion:8.58%, time:26 m:23 s, avg loss: 12.02, avg acc:0.1538%, last loss: 11.48
Train completion:8.71%, time:26 m:46 s, avg loss: 12.01, avg acc:0.1515%, last loss: 11.16
Train completion:8.84%, time:27 m:10 s, avg loss: 12.00, avg acc:0.1493%, last loss: 11.75
Train completion:8.98%, time:27 m:33 s, avg loss: 12.00, avg acc:0.1471%, last loss: 11.39
Train completion:9.11%, time:27 m:57 s, avg loss: 11.99, avg acc:0.1449%, last loss: 11.57
Train completion:9.24%, time:28 m:21 s, avg loss: 11.98, avg acc:0.1429%, last loss: 11.97
Train completion:9.37%, time:28 m:44 s, avg loss: 11.98, avg acc:0.1408%, last loss: 11.06
Train completion:9.50%, time:29 m:8 s, avg loss: 11.97, avg acc:0.1389%, last loss: 11.09
Train completion:9.64%, time:29 m:32 s, avg loss: 11.96, avg acc:0.1370%, last loss: 11.57
Train completion:9.77%, time:29 m:56 s, avg loss: 11.96, avg acc:0.1351%, last loss: 11.42
Train completion:9.90%, time:30 m:20 s, avg loss: 11.95, avg acc:0.1333%, last loss: 11.35
