----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:5.28%, time:5 m:26 s, avg loss: 12.18, avg acc:0.0000%, last loss: 12.06
Train completion:5.41%, time:5 m:35 s, avg loss: 12.18, avg acc:0.0000%, last loss: 12.23
Train completion:5.54%, time:5 m:43 s, avg loss: 12.17, avg acc:0.0000%, last loss: 12.03
Train completion:5.68%, time:5 m:51 s, avg loss: 12.16, avg acc:0.0000%, last loss: 11.69
Train completion:5.81%, time:5 m:59 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.03
Train completion:5.94%, time:6 m:7 s, avg loss: 12.15, avg acc:0.0000%, last loss: 11.49
Train completion:6.07%, time:6 m:16 s, avg loss: 12.15, avg acc:0.0000%, last loss: 11.78
Train completion:6.20%, time:6 m:23 s, avg loss: 12.14, avg acc:0.0000%, last loss: 11.79
Train completion:6.34%, time:6 m:31 s, avg loss: 12.13, avg acc:0.0000%, last loss: 11.59
Train completion:6.47%, time:6 m:40 s, avg loss: 12.13, avg acc:0.0000%, last loss: 11.58
Train completion:6.60%, time:6 m:48 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.87
Train completion:6.73%, time:6 m:56 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.61
Train completion:6.86%, time:7 m:4 s, avg loss: 12.11, avg acc:0.0000%, last loss: 11.68
Train completion:7.00%, time:7 m:13 s, avg loss: 12.10, avg acc:0.0000%, last loss: 11.46
Train completion:7.13%, time:7 m:21 s, avg loss: 12.09, avg acc:0.0000%, last loss: 11.06
Train completion:7.26%, time:7 m:29 s, avg loss: 12.08, avg acc:0.0000%, last loss: 11.79
Train completion:7.39%, time:7 m:37 s, avg loss: 12.08, avg acc:0.0000%, last loss: 11.66
Train completion:7.52%, time:7 m:46 s, avg loss: 12.07, avg acc:0.0000%, last loss: 11.94
Train completion:7.66%, time:7 m:55 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.89
Train completion:7.79%, time:8 m:3 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.43
Train completion:7.92%, time:8 m:11 s, avg loss: 12.05, avg acc:0.0000%, last loss: 11.72
Train completion:8.05%, time:8 m:19 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.37
Train completion:8.18%, time:8 m:27 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.51
Train completion:8.32%, time:8 m:35 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.91
Train completion:8.45%, time:8 m:43 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.75
Train completion:8.58%, time:8 m:51 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.77
Train completion:8.71%, time:9 m:0 s, avg loss: 12.01, avg acc:0.0000%, last loss: 11.68
Train completion:8.84%, time:9 m:8 s, avg loss: 12.00, avg acc:0.0000%, last loss: 11.56
Train completion:8.98%, time:9 m:16 s, avg loss: 11.99, avg acc:0.0000%, last loss: 11.73
Train completion:9.11%, time:9 m:24 s, avg loss: 11.99, avg acc:0.0000%, last loss: 11.28
Train completion:9.24%, time:9 m:32 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.96
Train completion:9.37%, time:9 m:40 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.68
Train completion:9.50%, time:9 m:48 s, avg loss: 11.97, avg acc:0.0000%, last loss: 11.67
Train completion:9.64%, time:9 m:56 s, avg loss: 11.96, avg acc:0.0000%, last loss: 11.56
Train completion:9.77%, time:10 m:5 s, avg loss: 11.96, avg acc:0.0000%, last loss: 11.53
Train completion:9.90%, time:10 m:13 s, avg loss: 11.95, avg acc:0.0000%, last loss: 11.61
Train completion:10.03%, time:10 m:21 s, avg loss: 11.94, avg acc:0.0000%, last loss: 11.23
