----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:8.45%, time:64 m:23 s, avg loss: 12.02, avg acc:0.1562%, last loss: 11.65
Train completion:8.58%, time:65 m:25 s, avg loss: 12.01, avg acc:0.1538%, last loss: 11.47
Train completion:8.71%, time:66 m:26 s, avg loss: 12.01, avg acc:0.1515%, last loss: 12.01
Train completion:8.84%, time:67 m:28 s, avg loss: 12.00, avg acc:0.1539%, last loss: 11.92
Train completion:8.98%, time:68 m:28 s, avg loss: 11.99, avg acc:0.1517%, last loss: 11.09
Train completion:9.11%, time:69 m:30 s, avg loss: 11.99, avg acc:0.1495%, last loss: 11.52
Train completion:9.24%, time:70 m:29 s, avg loss: 11.98, avg acc:0.1473%, last loss: 11.58
Train completion:9.37%, time:71 m:29 s, avg loss: 11.97, avg acc:0.1452%, last loss: 11.56
Train completion:9.50%, time:72 m:29 s, avg loss: 11.97, avg acc:0.1432%, last loss: 11.43
Train completion:9.64%, time:73 m:30 s, avg loss: 11.96, avg acc:0.1413%, last loss: 11.25
Train completion:9.77%, time:74 m:29 s, avg loss: 11.96, avg acc:0.1394%, last loss: 11.71
Train completion:9.90%, time:75 m:28 s, avg loss: 11.95, avg acc:0.1417%, last loss: 11.48
Train completion:10.03%, time:76 m:28 s, avg loss: 11.95, avg acc:0.1398%, last loss: 11.90
Train completion:10.16%, time:77 m:30 s, avg loss: 11.94, avg acc:0.1380%, last loss: 11.30
Train completion:10.30%, time:78 m:31 s, avg loss: 11.93, avg acc:0.1362%, last loss: 11.43
Train completion:10.43%, time:79 m:35 s, avg loss: 11.93, avg acc:0.1345%, last loss: 11.67
Train completion:10.56%, time:80 m:36 s, avg loss: 11.92, avg acc:0.1328%, last loss: 11.76
Train completion:10.69%, time:81 m:37 s, avg loss: 11.92, avg acc:0.1312%, last loss: 11.84
Train completion:10.82%, time:82 m:40 s, avg loss: 11.91, avg acc:0.1296%, last loss: 11.54
Train completion:10.96%, time:83 m:41 s, avg loss: 11.90, avg acc:0.1280%, last loss: 11.87
Train completion:11.09%, time:84 m:42 s, avg loss: 11.90, avg acc:0.1265%, last loss: 11.15
Train completion:11.22%, time:85 m:43 s, avg loss: 11.89, avg acc:0.1250%, last loss: 11.56
Train completion:11.35%, time:86 m:47 s, avg loss: 11.89, avg acc:0.1235%, last loss: 11.48
Train completion:11.48%, time:87 m:53 s, avg loss: 11.88, avg acc:0.1221%, last loss: 11.41
Train completion:11.62%, time:88 m:57 s, avg loss: 11.87, avg acc:0.1207%, last loss: 10.94
Train completion:11.75%, time:90 m:3 s, avg loss: 11.87, avg acc:0.1194%, last loss: 11.49
Train completion:11.88%, time:91 m:10 s, avg loss: 11.86, avg acc:0.1181%, last loss: 11.61
Train completion:12.01%, time:92 m:17 s, avg loss: 11.86, avg acc:0.1168%, last loss: 10.95
Train completion:12.14%, time:93 m:25 s, avg loss: 11.85, avg acc:0.1155%, last loss: 11.27
Train completion:12.28%, time:94 m:33 s, avg loss: 11.85, avg acc:0.1142%, last loss: 11.53
Train completion:12.41%, time:95 m:37 s, avg loss: 11.84, avg acc:0.1130%, last loss: 11.38
Train completion:12.54%, time:96 m:42 s, avg loss: 11.84, avg acc:0.1118%, last loss: 11.35
Train completion:12.67%, time:97 m:46 s, avg loss: 11.83, avg acc:0.1107%, last loss: 11.42
Train completion:12.80%, time:98 m:48 s, avg loss: 11.83, avg acc:0.1095%, last loss: 11.06
