
----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:8.45%, time:48 m:9 s, avg loss: 12.01, avg acc:0.0684%, last loss: 11.22
Train completion:8.58%, time:49 m:1 s, avg loss: 12.00, avg acc:0.0673%, last loss: 11.78
Train completion:8.71%, time:49 m:50 s, avg loss: 11.99, avg acc:0.0663%, last loss: 11.77
Train completion:8.84%, time:50 m:42 s, avg loss: 11.98, avg acc:0.0653%, last loss: 11.74
Train completion:8.98%, time:51 m:35 s, avg loss: 11.98, avg acc:0.0643%, last loss: 11.82
Train completion:9.11%, time:52 m:32 s, avg loss: 11.98, avg acc:0.0634%, last loss: 11.63
Train completion:9.24%, time:53 m:29 s, avg loss: 11.97, avg acc:0.0625%, last loss: 12.15
Train completion:9.37%, time:54 m:31 s, avg loss: 11.96, avg acc:0.0616%, last loss: 11.30
Train completion:9.50%, time:55 m:18 s, avg loss: 11.96, avg acc:0.0608%, last loss: 11.37
Train completion:9.64%, time:56 m:6 s, avg loss: 11.95, avg acc:0.0599%, last loss: 11.90
Train completion:9.77%, time:56 m:50 s, avg loss: 11.95, avg acc:0.0591%, last loss: 11.38
Train completion:9.90%, time:57 m:41 s, avg loss: 11.94, avg acc:0.0583%, last loss: 11.44
Train completion:10.03%, time:58 m:34 s, avg loss: 11.93, avg acc:0.0863%, last loss: 11.34
Train completion:10.16%, time:59 m:28 s, avg loss: 11.93, avg acc:0.0852%, last loss: 11.44
Train completion:10.30%, time:60 m:27 s, avg loss: 11.92, avg acc:0.0841%, last loss: 11.06
Train completion:10.43%, time:61 m:22 s, avg loss: 11.92, avg acc:0.0831%, last loss: 11.40
Train completion:10.56%, time:62 m:15 s, avg loss: 11.91, avg acc:0.0820%, last loss: 11.00
Train completion:10.69%, time:63 m:6 s, avg loss: 11.90, avg acc:0.0810%, last loss: 11.25
Train completion:10.82%, time:63 m:55 s, avg loss: 11.89, avg acc:0.0800%, last loss: 11.72
Train completion:10.96%, time:64 m:42 s, avg loss: 11.89, avg acc:0.0791%, last loss: 11.51
Train completion:11.09%, time:65 m:33 s, avg loss: 11.88, avg acc:0.0781%, last loss: 11.23
Train completion:11.22%, time:66 m:26 s, avg loss: 11.88, avg acc:0.0772%, last loss: 11.41
Train completion:11.35%, time:67 m:20 s, avg loss: 11.87, avg acc:0.0763%, last loss: 11.35
Train completion:11.48%, time:68 m:21 s, avg loss: 11.86, avg acc:0.0754%, last loss: 11.09
Train completion:11.62%, time:69 m:13 s, avg loss: 11.86, avg acc:0.0746%, last loss: 11.33
Train completion:11.75%, time:70 m:2 s, avg loss: 11.85, avg acc:0.0737%, last loss: 10.91
Train completion:11.88%, time:70 m:50 s, avg loss: 11.84, avg acc:0.0729%, last loss: 11.25
Train completion:12.01%, time:71 m:38 s, avg loss: 11.84, avg acc:0.0721%, last loss: 11.06
Train completion:12.14%, time:72 m:31 s, avg loss: 11.83, avg acc:0.0713%, last loss: 11.65
Train completion:12.28%, time:73 m:28 s, avg loss: 11.83, avg acc:0.0706%, last loss: 10.81
Train completion:12.41%, time:74 m:24 s, avg loss: 11.82, avg acc:0.0698%, last loss: 11.75
Train completion:12.54%, time:75 m:18 s, avg loss: 11.81, avg acc:0.0691%, last loss: 11.17
Train completion:12.67%, time:76 m:11 s, avg loss: 11.81, avg acc:0.0684%, last loss: 11.23
Train completion:12.80%, time:77 m:3 s, avg loss: 11.80, avg acc:0.0677%, last loss: 11.14
Train completion:12.94%, time:77 m:58 s, avg loss: 11.80, avg acc:0.0670%, last loss: 11.53
Train completion:13.07%, time:78 m:52 s, avg loss: 11.79, avg acc:0.0663%, last loss: 11.44
Train completion:13.20%, time:79 m:45 s, avg loss: 11.79, avg acc:0.0656%, last loss: 11.20
Train completion:13.33%, time:80 m:33 s, avg loss: 11.78, avg acc:0.0650%, last loss: 11.29
Train completion:13.46%, time:81 m:33 s, avg loss: 11.78, avg acc:0.0643%, last loss: 11.27
Train completion:13.60%, time:82 m:31 s, avg loss: 11.77, avg acc:0.0637%, last loss: 10.95
Train completion:13.73%, time:83 m:29 s, avg loss: 11.76, avg acc:0.0631%, last loss: 11.00
Train completion:13.86%, time:84 m:26 s, avg loss: 11.76, avg acc:0.0625%, last loss: 11.00
Train completion:13.99%, time:85 m:21 s, avg loss: 11.75, avg acc:0.0619%, last loss: 11.38
Train completion:14.12%, time:86 m:18 s, avg loss: 11.75, avg acc:0.0613%, last loss: 11.47
Train completion:14.26%, time:87 m:17 s, avg loss: 11.74, avg acc:0.0608%, last loss: 11.05
Train completion:14.39%, time:88 m:13 s, avg loss: 11.73, avg acc:0.0602%, last loss: 11.19
Train completion:14.52%, time:89 m:16 s, avg loss: 11.73, avg acc:0.0597%, last loss: 11.19
Train completion:14.65%, time:90 m:12 s, avg loss: 11.72, avg acc:0.0591%, last loss: 11.17
Train completion:14.78%, time:91 m:8 s, avg loss: 11.72, avg acc:0.0725%, last loss: 11.07
Train completion:14.92%, time:92 m:0 s, avg loss: 11.71, avg acc:0.0719%, last loss: 10.77
Train completion:15.05%, time:92 m:56 s, avg loss: 11.71, avg acc:0.0713%, last loss: 11.28
Train completion:15.18%, time:93 m:53 s, avg loss: 11.70, avg acc:0.0707%, last loss: 10.70
Train completion:15.31%, time:94 m:47 s, avg loss: 11.69, avg acc:0.0700%, last loss: 11.20
Train completion:15.44%, time:95 m:45 s, avg loss: 11.69, avg acc:0.0694%, last loss: 10.87
Train completion:15.58%, time:96 m:37 s, avg loss: 11.68, avg acc:0.1112%, last loss: 11.33
Train completion:15.71%, time:97 m:29 s, avg loss: 11.68, avg acc:0.1103%, last loss: 10.95
Train completion:15.84%, time:98 m:39 s, avg loss: 11.67, avg acc:0.1094%, last loss: 10.79
Train completion:15.97%, time:100 m:1 s, avg loss: 11.67, avg acc:0.1085%, last loss: 10.88
