----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:10.30%, time:47 m:56 s, avg loss: 11.93, avg acc:0.2564%, last loss: 11.67
Train completion:10.43%, time:48 m:26 s, avg loss: 11.93, avg acc:0.2532%, last loss: 11.96
Train completion:10.56%, time:48 m:55 s, avg loss: 11.92, avg acc:0.2500%, last loss: 11.39
Train completion:10.69%, time:49 m:25 s, avg loss: 11.92, avg acc:0.2469%, last loss: 10.96
Train completion:10.82%, time:49 m:54 s, avg loss: 11.91, avg acc:0.2439%, last loss: 11.19
Train completion:10.96%, time:50 m:24 s, avg loss: 11.91, avg acc:0.2410%, last loss: 11.57
Train completion:11.09%, time:50 m:53 s, avg loss: 11.90, avg acc:0.2381%, last loss: 11.20
Train completion:11.22%, time:51 m:22 s, avg loss: 11.90, avg acc:0.2353%, last loss: 11.60
Train completion:11.35%, time:51 m:52 s, avg loss: 11.89, avg acc:0.2326%, last loss: 11.43
Train completion:11.48%, time:52 m:21 s, avg loss: 11.88, avg acc:0.2299%, last loss: 11.59
Train completion:11.62%, time:52 m:50 s, avg loss: 11.88, avg acc:0.2273%, last loss: 11.05
Train completion:11.75%, time:53 m:20 s, avg loss: 11.87, avg acc:0.2247%, last loss: 11.66
Train completion:11.88%, time:53 m:50 s, avg loss: 11.87, avg acc:0.2222%, last loss: 11.56
Train completion:12.01%, time:54 m:20 s, avg loss: 11.86, avg acc:0.2198%, last loss: 11.31
Train completion:12.14%, time:54 m:50 s, avg loss: 11.86, avg acc:0.2174%, last loss: 10.80
Train completion:12.28%, time:55 m:20 s, avg loss: 11.85, avg acc:0.2151%, last loss: 10.98
Train completion:12.41%, time:55 m:49 s, avg loss: 11.85, avg acc:0.2128%, last loss: 11.27
Train completion:12.54%, time:56 m:19 s, avg loss: 11.84, avg acc:0.2105%, last loss: 11.31
Train completion:12.67%, time:56 m:48 s, avg loss: 11.84, avg acc:0.2083%, last loss: 11.61
Train completion:12.80%, time:57 m:17 s, avg loss: 11.83, avg acc:0.2062%, last loss: 11.03
Train completion:12.94%, time:57 m:47 s, avg loss: 11.83, avg acc:0.2041%, last loss: 11.52
Train completion:13.07%, time:58 m:17 s, avg loss: 11.82, avg acc:0.2020%, last loss: 11.43
Train completion:13.20%, time:58 m:47 s, avg loss: 11.82, avg acc:0.2000%, last loss: 11.50
Train completion:13.33%, time:59 m:18 s, avg loss: 11.81, avg acc:0.1980%, last loss: 11.18
Train completion:13.46%, time:59 m:47 s, avg loss: 11.81, avg acc:0.1961%, last loss: 11.47
Train completion:13.60%, time:60 m:17 s, avg loss: 11.80, avg acc:0.1942%, last loss: 11.09
Train completion:13.73%, time:60 m:48 s, avg loss: 11.80, avg acc:0.1923%, last loss: 11.37
Train completion:13.86%, time:61 m:17 s, avg loss: 11.80, avg acc:0.2857%, last loss: 11.06
