----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:19.54%, time:109 m:17 s, avg loss: 11.57, avg acc:0.0676%, last loss: 10.90
Train completion:19.67%, time:110 m:2 s, avg loss: 11.57, avg acc:0.0671%, last loss: 11.37
Train completion:19.80%, time:110 m:47 s, avg loss: 11.56, avg acc:0.0667%, last loss: 11.17
Train completion:19.93%, time:111 m:32 s, avg loss: 11.56, avg acc:0.0662%, last loss: 10.85
Train completion:20.06%, time:112 m:17 s, avg loss: 11.56, avg acc:0.0658%, last loss: 11.33
Train completion:20.20%, time:113 m:1 s, avg loss: 11.55, avg acc:0.0654%, last loss: 11.12
Train completion:20.33%, time:113 m:45 s, avg loss: 11.55, avg acc:0.0649%, last loss: 10.81
Train completion:20.46%, time:114 m:29 s, avg loss: 11.55, avg acc:0.0645%, last loss: 11.06
Train completion:20.59%, time:115 m:15 s, avg loss: 11.54, avg acc:0.0641%, last loss: 11.36
Train completion:20.72%, time:116 m:1 s, avg loss: 11.54, avg acc:0.0637%, last loss: 11.02
Train completion:20.86%, time:116 m:47 s, avg loss: 11.53, avg acc:0.0633%, last loss: 10.95
Train completion:20.99%, time:117 m:33 s, avg loss: 11.53, avg acc:0.0629%, last loss: 11.06
Train completion:21.12%, time:118 m:18 s, avg loss: 11.53, avg acc:0.0625%, last loss: 10.74
Train completion:21.25%, time:119 m:3 s, avg loss: 11.52, avg acc:0.0621%, last loss: 11.05
Train completion:21.38%, time:119 m:49 s, avg loss: 11.52, avg acc:0.0617%, last loss: 10.58
Train completion:21.52%, time:120 m:34 s, avg loss: 11.51, avg acc:0.0613%, last loss: 10.97
Train completion:21.65%, time:121 m:19 s, avg loss: 11.51, avg acc:0.0610%, last loss: 10.37
Train completion:21.78%, time:122 m:5 s, avg loss: 11.51, avg acc:0.0606%, last loss: 10.80
Train completion:21.91%, time:122 m:50 s, avg loss: 11.50, avg acc:0.0602%, last loss: 10.87
Train completion:22.04%, time:123 m:36 s, avg loss: 11.50, avg acc:0.0599%, last loss: 10.91
Train completion:22.18%, time:124 m:22 s, avg loss: 11.50, avg acc:0.0595%, last loss: 11.13
Train completion:22.31%, time:125 m:7 s, avg loss: 11.49, avg acc:0.0592%, last loss: 10.90
Train completion:22.44%, time:125 m:52 s, avg loss: 11.49, avg acc:0.0588%, last loss: 10.90
Train completion:22.57%, time:126 m:38 s, avg loss: 11.48, avg acc:0.0585%, last loss: 10.90
Train completion:22.70%, time:127 m:23 s, avg loss: 11.48, avg acc:0.0581%, last loss: 11.22
Train completion:22.84%, time:128 m:8 s, avg loss: 11.47, avg acc:0.0578%, last loss: 10.66
Train completion:22.97%, time:128 m:55 s, avg loss: 11.47, avg acc:0.0575%, last loss: 10.87
Train completion:23.10%, time:129 m:41 s, avg loss: 11.47, avg acc:0.0571%, last loss: 10.89
Train completion:23.23%, time:130 m:25 s, avg loss: 11.46, avg acc:0.0568%, last loss: 11.18
Train completion:23.36%, time:131 m:9 s, avg loss: 11.46, avg acc:0.0565%, last loss: 10.92
Train completion:23.50%, time:131 m:56 s, avg loss: 11.46, avg acc:0.0562%, last loss: 10.80
Train completion:23.63%, time:132 m:40 s, avg loss: 11.45, avg acc:0.0559%, last loss: 10.53
Train completion:23.76%, time:133 m:25 s, avg loss: 11.45, avg acc:0.0556%, last loss: 10.65
Train completion:23.89%, time:134 m:11 s, avg loss: 11.44, avg acc:0.0552%, last loss: 10.74
Train completion:24.02%, time:134 m:55 s, avg loss: 11.44, avg acc:0.0549%, last loss: 10.87
Train completion:24.16%, time:135 m:40 s, avg loss: 11.44, avg acc:0.0546%, last loss: 10.92
Train completion:24.29%, time:136 m:25 s, avg loss: 11.43, avg acc:0.0543%, last loss: 10.59
Train completion:24.42%, time:137 m:10 s, avg loss: 11.43, avg acc:0.0541%, last loss: 10.91
Train completion:24.55%, time:137 m:56 s, avg loss: 11.43, avg acc:0.0538%, last loss: 10.77
Train completion:24.68%, time:138 m:42 s, avg loss: 11.42, avg acc:0.0535%, last loss: 10.76
Train completion:24.82%, time:139 m:27 s, avg loss: 11.42, avg acc:0.0532%, last loss: 10.75
Train completion:24.95%, time:140 m:12 s, avg loss: 11.41, avg acc:0.0529%, last loss: 10.67
Train completion:25.08%, time:140 m:57 s, avg loss: 11.41, avg acc:0.0526%, last loss: 11.12
Train completion:25.21%, time:141 m:43 s, avg loss: 11.41, avg acc:0.0524%, last loss: 10.52
Train completion:25.34%, time:142 m:28 s, avg loss: 11.40, avg acc:0.0521%, last loss: 10.26
Train completion:25.48%, time:143 m:13 s, avg loss: 11.40, avg acc:0.0518%, last loss: 10.64
Train completion:25.61%, time:143 m:58 s, avg loss: 11.40, avg acc:0.0515%, last loss: 10.84
Train completion:25.74%, time:144 m:43 s, avg loss: 11.39, avg acc:0.0513%, last loss: 10.54
Train completion:25.87%, time:145 m:26 s, avg loss: 11.39, avg acc:0.0510%, last loss: 10.62
Train completion:26.00%, time:146 m:13 s, avg loss: 11.39, avg acc:0.0508%, last loss: 10.61
Train completion:26.14%, time:146 m:57 s, avg loss: 11.38, avg acc:0.0505%, last loss: 10.61
Train completion:26.27%, time:147 m:44 s, avg loss: 11.38, avg acc:0.0503%, last loss: 10.58
Train completion:26.40%, time:148 m:28 s, avg loss: 11.38, avg acc:0.0500%, last loss: 10.69
Train completion:26.53%, time:149 m:15 s, avg loss: 11.37, avg acc:0.0498%, last loss: 10.54
Train completion:26.66%, time:149 m:59 s, avg loss: 11.37, avg acc:0.0495%, last loss: 10.79
Train completion:26.80%, time:150 m:44 s, avg loss: 11.37, avg acc:0.0493%, last loss: 10.87
Train completion:26.93%, time:151 m:30 s, avg loss: 11.36, avg acc:0.0490%, last loss: 10.87
Train completion:27.06%, time:152 m:16 s, avg loss: 11.36, avg acc:0.0488%, last loss: 10.53
Train completion:27.19%, time:153 m:1 s, avg loss: 11.36, avg acc:0.0485%, last loss: 10.87
Train completion:27.32%, time:153 m:47 s, avg loss: 11.35, avg acc:0.0483%, last loss: 10.62
Train completion:27.46%, time:154 m:31 s, avg loss: 11.35, avg acc:0.0481%, last loss: 10.60
Train completion:27.59%, time:155 m:18 s, avg loss: 11.35, avg acc:0.0478%, last loss: 10.35
Train completion:27.72%, time:156 m:4 s, avg loss: 11.34, avg acc:0.0476%, last loss: 10.63
Train completion:27.85%, time:156 m:50 s, avg loss: 11.34, avg acc:0.0474%, last loss: 10.70
Train completion:27.98%, time:157 m:37 s, avg loss: 11.34, avg acc:0.0472%, last loss: 10.45
Train completion:28.12%, time:158 m:24 s, avg loss: 11.33, avg acc:0.0469%, last loss: 10.71
Train completion:28.25%, time:159 m:9 s, avg loss: 11.33, avg acc:0.0467%, last loss: 10.75
Train completion:28.38%, time:159 m:54 s, avg loss: 11.33, avg acc:0.0465%, last loss: 10.56
Train completion:28.51%, time:160 m:39 s, avg loss: 11.32, avg acc:0.0463%, last loss: 10.54
Train completion:28.64%, time:161 m:24 s, avg loss: 11.32, avg acc:0.0461%, last loss: 10.77
Train completion:28.78%, time:162 m:8 s, avg loss: 11.32, avg acc:0.0459%, last loss: 10.31
Train completion:28.91%, time:162 m:53 s, avg loss: 11.32, avg acc:0.0457%, last loss: 10.85
Train completion:29.04%, time:163 m:37 s, avg loss: 11.31, avg acc:0.0455%, last loss: 10.97
Train completion:29.17%, time:164 m:21 s, avg loss: 11.31, avg acc:0.0452%, last loss: 10.71
Train completion:29.30%, time:165 m:6 s, avg loss: 11.31, avg acc:0.0450%, last loss: 10.44
Train completion:29.44%, time:165 m:53 s, avg loss: 11.30, avg acc:0.0448%, last loss: 10.76
Train completion:29.57%, time:166 m:35 s, avg loss: 11.30, avg acc:0.0893%, last loss: 10.80
Train completion:29.70%, time:167 m:20 s, avg loss: 11.30, avg acc:0.0889%, last loss: 10.51
Train completion:29.83%, time:168 m:5 s, avg loss: 11.30, avg acc:0.0885%, last loss: 10.51
