Probably very similar to ViTm_ImplicitAttn_ParallelLayer_scale_init_Block-2parallel:

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:8.32%, time:183 m:8 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.94
Train completion:8.45%, time:186 m:21 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.13
Train completion:8.58%, time:189 m:31 s, avg loss: 12.05, avg acc:0.0000%, last loss: 12.07
Train completion:8.71%, time:192 m:3 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.82
Train completion:8.84%, time:194 m:57 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.40
Train completion:8.98%, time:197 m:49 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.64
Train completion:9.11%, time:200 m:39 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.74
Train completion:9.24%, time:203 m:45 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.51
Train completion:9.37%, time:206 m:44 s, avg loss: 12.01, avg acc:0.0000%, last loss: 11.86
Train completion:9.50%, time:209 m:35 s, avg loss: 12.01, avg acc:0.0000%, last loss: 11.36
Train completion:9.64%, time:212 m:16 s, avg loss: 12.00, avg acc:0.0000%, last loss: 12.03
Train completion:9.77%, time:215 m:12 s, avg loss: 12.00, avg acc:0.0000%, last loss: 11.52
Train completion:9.90%, time:218 m:10 s, avg loss: 11.99, avg acc:0.0000%, last loss: 11.41
Train completion:10.03%, time:220 m:58 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.50
Train completion:10.16%, time:224 m:2 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.29
Train completion:10.30%, time:227 m:8 s, avg loss: 11.97, avg acc:0.0000%, last loss: 11.67
Train completion:10.43%, time:230 m:37 s, avg loss: 11.97, avg acc:0.0000%, last loss: 11.61
Train completion:10.56%, time:234 m:1 s, avg loss: 11.96, avg acc:0.0000%, last loss: 12.00
Train completion:10.69%, time:237 m:33 s, avg loss: 11.96, avg acc:0.0000%, last loss: 11.01
Train completion:10.82%, time:240 m:57 s, avg loss: 11.95, avg acc:0.0000%, last loss: 11.00
Train completion:10.96%, time:244 m:9 s, avg loss: 11.94, avg acc:0.0000%, last loss: 11.28
Train completion:11.09%, time:247 m:11 s, avg loss: 11.94, avg acc:0.0000%, last loss: 11.52
Train completion:11.22%, time:250 m:16 s, avg loss: 11.93, avg acc:0.0000%, last loss: 11.65
Train completion:11.35%, time:253 m:43 s, avg loss: 11.93, avg acc:0.0000%, last loss: 11.42
Train completion:11.48%, time:257 m:3 s, avg loss: 11.92, avg acc:0.0000%, last loss: 11.62
Train completion:11.62%, time:260 m:12 s, avg loss: 11.92, avg acc:0.0000%, last loss: 11.59
Train completion:11.75%, time:263 m:21 s, avg loss: 11.91, avg acc:0.0000%, last loss: 11.03
Train completion:11.88%, time:266 m:12 s, avg loss: 11.91, avg acc:0.0000%, last loss: 11.34
Train completion:12.01%, time:269 m:30 s, avg loss: 11.90, avg acc:0.0000%, last loss: 11.52
Train completion:12.14%, time:272 m:35 s, avg loss: 11.89, avg acc:0.0000%, last loss: 11.14
Train completion:12.28%, time:276 m:3 s, avg loss: 11.89, avg acc:0.0000%, last loss: 11.41
Train completion:12.41%, time:279 m:39 s, avg loss: 11.88, avg acc:0.0000%, last loss: 11.38
Train completion:12.54%, time:282 m:56 s, avg loss: 11.88, avg acc:0.0000%, last loss: 11.68
Train completion:12.67%, time:286 m:12 s, avg loss: 11.87, avg acc:0.0000%, last loss: 11.35
Train completion:12.80%, time:289 m:28 s, avg loss: 11.87, avg acc:0.0000%, last loss: 11.95
Train completion:12.94%, time:292 m:15 s, avg loss: 11.86, avg acc:0.0000%, last loss: 11.12
Train completion:13.07%, time:295 m:9 s, avg loss: 11.85, avg acc:0.0000%, last loss: 11.18
Train completion:13.20%, time:298 m:14 s, avg loss: 11.85, avg acc:0.0000%, last loss: 11.38
Train completion:13.33%, time:301 m:29 s, avg loss: 11.84, avg acc:0.0000%, last loss: 10.90
Train completion:13.46%, time:304 m:59 s, avg loss: 11.83, avg acc:0.0000%, last loss: 11.15
Train completion:13.60%, time:308 m:29 s, avg loss: 11.83, avg acc:0.0000%, last loss: 11.12
Train completion:13.73%, time:311 m:46 s, avg loss: 11.82, avg acc:0.0000%, last loss: 11.60
Train completion:13.86%, time:314 m:50 s, avg loss: 11.82, avg acc:0.0000%, last loss: 11.20
Train completion:13.99%, time:317 m:55 s, avg loss: 11.81, avg acc:0.0000%, last loss: 10.92
Train completion:14.12%, time:321 m:8 s, avg loss: 11.80, avg acc:0.0000%, last loss: 11.58
Train completion:14.26%, time:323 m:58 s, avg loss: 11.80, avg acc:0.0000%, last loss: 11.30
Train completion:14.39%, time:326 m:54 s, avg loss: 11.80, avg acc:0.0000%, last loss: 11.50
Train completion:14.52%, time:330 m:5 s, avg loss: 11.79, avg acc:0.0000%, last loss: 11.47
Train completion:14.65%, time:333 m:35 s, avg loss: 11.79, avg acc:0.0000%, last loss: 11.41
Train completion:14.78%, time:336 m:31 s, avg loss: 11.78, avg acc:0.0000%, last loss: 11.16
Train completion:14.92%, time:339 m:16 s, avg loss: 11.78, avg acc:0.0000%, last loss: 11.24
Train completion:15.05%, time:342 m:11 s, avg loss: 11.77, avg acc:0.0000%, last loss: 11.10
Train completion:15.18%, time:345 m:6 s, avg loss: 11.77, avg acc:0.0000%, last loss: 11.10
Train completion:15.31%, time:348 m:7 s, avg loss: 11.76, avg acc:0.0000%, last loss: 11.36
Train completion:15.44%, time:351 m:17 s, avg loss: 11.76, avg acc:0.0000%, last loss: 11.48
Train completion:15.58%, time:354 m:17 s, avg loss: 11.75, avg acc:0.0000%, last loss: 11.19
Train completion:15.71%, time:357 m:0 s, avg loss: 11.75, avg acc:0.0000%, last loss: 10.91
Train completion:15.84%, time:359 m:54 s, avg loss: 11.74, avg acc:0.0000%, last loss: 11.17
Train completion:15.97%, time:362 m:50 s, avg loss: 11.74, avg acc:0.0000%, last loss: 11.11
Train completion:16.10%, time:365 m:22 s, avg loss: 11.73, avg acc:0.0000%, last loss: 11.12
Train completion:16.24%, time:368 m:21 s, avg loss: 11.73, avg acc:0.0000%, last loss: 11.34
Train completion:16.37%, time:370 m:58 s, avg loss: 11.72, avg acc:0.0000%, last loss: 11.14
Train completion:16.50%, time:373 m:56 s, avg loss: 11.72, avg acc:0.0000%, last loss: 11.08
Train completion:16.63%, time:376 m:36 s, avg loss: 11.71, avg acc:0.0000%, last loss: 11.22
Train completion:16.76%, time:379 m:25 s, avg loss: 11.71, avg acc:0.0000%, last loss: 10.83
Train completion:16.90%, time:381 m:51 s, avg loss: 11.71, avg acc:0.0000%, last loss: 11.08
Train completion:17.03%, time:384 m:28 s, avg loss: 11.70, avg acc:0.0000%, last loss: 11.24
Train completion:17.16%, time:386 m:51 s, avg loss: 11.70, avg acc:0.0000%, last loss: 11.50
Train completion:17.29%, time:389 m:21 s, avg loss: 11.69, avg acc:0.0000%, last loss: 11.25
Train completion:17.42%, time:391 m:31 s, avg loss: 11.69, avg acc:0.0000%, last loss: 11.30
Train completion:17.56%, time:394 m:12 s, avg loss: 11.68, avg acc:0.0000%, last loss: 11.13
Train completion:17.69%, time:396 m:28 s, avg loss: 11.68, avg acc:0.0000%, last loss: 11.13
Train completion:17.82%, time:398 m:52 s, avg loss: 11.67, avg acc:0.0000%, last loss: 10.71
Train completion:17.95%, time:401 m:16 s, avg loss: 11.67, avg acc:0.0000%, last loss: 11.25
Train completion:18.08%, time:403 m:30 s, avg loss: 11.66, avg acc:0.0000%, last loss: 10.93
Train completion:18.22%, time:405 m:37 s, avg loss: 11.66, avg acc:0.0000%, last loss: 11.12
